"","Date","Absents","Paramset","Infections_or_Exposed_per_day_Patient","Infections_or_Exposed_per_day_HCW","total_infections","nosocomial_proportion","PCR_pooled","LFD_pooled","HCW_symp_test","patient_symp_test","new_hcw_infs","cumulative_hcw_infs","new_pat_infs","cumulative_pats_infs","new_nosocomial_hcw_infs","new_nosocomial_pat_infs"
"1","2020-03-13",1,1,40,81,6236,0.728832584990378,0,0,618,369,25,81,5,29,6,5
"2","2020-03-14",4,1,46,116,6236,0.728832584990378,0,0,618,369,35,116,9,38,9,9
"3","2020-03-15",15,1,53,145,6236,0.728832584990378,0,0,618,369,29,145,17,55,12,17
"4","2020-03-16",19,1,61,183,6236,0.728832584990378,0,0,618,369,38,183,12,67,17,12
"5","2020-03-17",20,1,60,231,6236,0.728832584990378,0,0,618,369,49,232,13,80,27,13
"6","2020-03-18",29,1,66,279,6236,0.728832584990378,0,0,618,369,50,282,12,92,28,12
"7","2020-03-19",37,1,60,325,6236,0.728832584990378,0,0,618,369,51,333,8,100,30,8
"8","2020-03-20",46,1,67,391,6236,0.728832584990378,0,0,618,369,78,411,15,115,54,15
"9","2020-03-21",58,1,58,462,6236,0.728832584990378,0,0,618,369,86,497,10,125,60,10
"10","2020-03-22",64,1,54,516,6236,0.728832584990378,0,0,618,369,70,567,7,132,51,7
"11","2020-03-23",75,1,58,589,6236,0.728832584990378,0,0,618,369,96,663,11,143,78,11
"12","2020-03-24",99,1,75,666,6236,0.728832584990378,0,0,618,369,100,763,25,168,81,25
"13","2020-03-25",107,1,77,748,6236,0.728832584990378,0,0,618,369,119,882,10,178,94,10
"14","2020-03-26",126,1,84,833,6236,0.728832584990378,0,0,618,369,117,999,25,203,87,25
"15","2020-03-27",154,1,111,909,6236,0.728832584990378,0,0,618,369,124,1123,31,234,106,31
"16","2020-03-28",167,1,98,964,6236,0.728832584990378,0,0,618,369,108,1231,14,248,84,14
"17","2020-03-29",196,1,87,1042,6236,0.728832584990378,0,0,618,369,139,1370,7,255,117,7
"18","2020-03-30",218,1,80,1140,6236,0.728832584990378,0,0,618,369,146,1516,12,267,114,12
"19","2020-03-31",236,1,87,1201,6236,0.728832584990378,0,0,618,369,121,1637,16,283,107,16
"20","2020-04-01",271,1,80,1291,6236,0.728832584990378,0,0,618,369,164,1801,11,294,142,11
"21","2020-04-02",299,1,83,1374,6236,0.728832584990378,0,0,618,369,169,1970,12,306,144,12
